long,byte,byte,byte,byte,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,
1,1,1,0,0,38,39,40,9542,25,2362,117,6948,-1,-1,-1,-1,9891,9892,10141,3093,1542,18730,2473,6418,-1,-1,-1,-1,4,7,8,0,21,14,0,0,-1,-1,-1,-1,
14,1,1,1,0,38,39,40,9542,25,2362,117,6948,-1,-1,-1,-1,9891,9892,10141,3093,1542,18730,2473,6418,-1,-1,-1,-1,4,7,8,0,21,14,0,0,-1,-1,-1,-1,
79,1,2,0,0,45,43,44,6948,2361,159,2070,9570,-1,-1,-1,-1,3265,10272,9937,6418,8690,18084,6353,3093,-1,-1,-1,-1,4,8,7,0,17,0,0,0,-1,-1,-1,-1,
36,1,2,1,0,45,43,44,6948,2361,159,2070,9570,-1,-1,-1,-1,3265,10272,9937,6418,8690,18084,6353,3093,-1,-1,-1,-1,4,8,7,0,17,0,0,0,-1,-1,-1,-1,
9,1,4,0,0,49,47,48,2947,2092,2070,9555,6948,-1,-1,-1,-1,9906,9915,9913,16754,6442,6353,3093,6418,-1,-1,-1,-1,4,8,7,25,13,0,0,0,-1,-1,-1,-1,
37,1,4,1,0,49,47,48,2947,2092,2070,9555,6948,-1,-1,-1,-1,9906,9915,9913,16754,6442,6353,3093,6418,-1,-1,-1,-1,4,8,7,25,13,0,0,0,-1,-1,-1,-1,
11,1,5,0,0,6098,52,53,51,36,159,2070,9548,6948,-1,-1,-1,12679,9945,9944,9946,5194,18084,6353,3093,6418,-1,-1,-1,20,7,4,8,21,0,0,0,0,-1,-1,-1,
38,1,5,1,0,6098,52,53,51,36,159,2070,9548,6948,-1,-1,-1,12679,9945,9944,9946,5194,18084,6353,3093,6418,-1,-1,-1,20,7,4,8,21,0,0,0,0,-1,-1,-1,
10,1,8,0,0,56,1395,55,35,6096,2070,159,9571,6948,-1,0,-1,12647,9924,9929,472,2163,6353,18084,3093,6418,-1,-1,-1,20,7,8,17,4,0,0,0,0,-1,-1,-1,
39,1,8,1,0,56,1395,55,35,6096,2070,159,9571,6948,-1,0,-1,12647,9924,9929,472,2163,6353,18084,3093,6418,-1,-1,-1,20,7,8,17,4,0,0,0,0,-1,-1,-1,
